s,C
Time,"T air 1"
 4.0284455E+000, 2.1007782E+002
 4.0374723E+000, 2.0834845E+002
 4.0464992E+000, 2.0708256E+002
 4.0555261E+000, 2.0717890E+002
 4.0645529E+000, 2.0831948E+002
 4.0735798E+000, 2.0930388E+002
 4.0826067E+000, 2.0948735E+002
 4.0916335E+000, 2.0825690E+002
 4.1006604E+000, 2.0473872E+002
 4.1096873E+000, 1.9699292E+002
 4.1187141E+000, 1.8535777E+002
 4.1277410E+000, 1.7266859E+002
 4.1376706E+000, 1.6027488E+002
 4.1476001E+000, 1.5160167E+002
 4.1575297E+000, 1.4824164E+002
 4.1674592E+000, 1.5162264E+002
 4.1773888E+000, 1.6238429E+002
 4.1873183E+000, 1.8047676E+002
 4.1972479E+000, 2.0381632E+002
 4.2071774E+000, 2.2532750E+002
 4.2171070E+000, 2.4531788E+002
 4.2270365E+000, 2.6434358E+002
 4.2369661E+000, 2.7876901E+002
 4.2468957E+000, 2.8668504E+002
 4.2568252E+000, 2.8918124E+002
 4.2667548E+000, 2.8877618E+002
 4.2756460E+000, 2.8672686E+002
 4.2845372E+000, 2.8409616E+002
 4.2934284E+000, 2.8196832E+002
 4.3023196E+000, 2.7945136E+002
 4.3112108E+000, 2.7648869E+002
 4.3201020E+000, 2.7440933E+002
 4.3289932E+000, 2.7302772E+002
 4.3378844E+000, 2.7252937E+002
 4.3467757E+000, 2.7268163E+002
 4.3565560E+000, 2.7294642E+002
 4.3663363E+000, 2.7475992E+002
 4.3761167E+000, 2.7513562E+002
 4.3858970E+000, 2.7276947E+002
 4.3956773E+000, 2.6912962E+002
 4.4054577E+000, 2.6425348E+002
 4.4152380E+000, 2.6246675E+002
 4.4250183E+000, 2.6939489E+002
 4.4347986E+000, 2.8636252E+002
 4.4445790E+000, 3.1934637E+002
 4.4543593E+000, 3.6663852E+002
 4.4641396E+000, 4.0937150E+002
 4.4739200E+000, 4.3736117E+002
 4.4837003E+000, 4.5598870E+002
 4.4934806E+000, 4.5173650E+002
 4.5032610E+000, 4.4527766E+002
 4.5130413E+000, 4.3679429E+002
 4.5228216E+000, 4.2965037E+002
 4.5326020E+000, 4.2173923E+002
 4.5423823E+000, 4.1099199E+002
 4.5521626E+000, 4.0412306E+002
 4.5619430E+000, 4.0014923E+002
 4.5717233E+000, 3.9609825E+002
 4.5815036E+000, 3.8939155E+002
 4.5912840E+000, 3.8278919E+002
 4.6010643E+000, 3.7497679E+002
 4.6108446E+000, 3.6563886E+002
 4.6206250E+000, 3.5544668E+002
 4.6304053E+000, 3.4555204E+002
 4.6401856E+000, 3.3541703E+002
 4.6499660E+000, 3.2625366E+002
 4.6597463E+000, 3.1885718E+002
 4.6695266E+000, 3.1322096E+002
 4.6793070E+000, 3.0868732E+002
 4.6890873E+000, 3.0252405E+002
 4.6988676E+000, 2.9320057E+002
 4.7086479E+000, 2.8137047E+002
 4.7184283E+000, 2.6820664E+002
 4.7282086E+000, 2.5445375E+002
 4.7379889E+000, 2.4088683E+002
 4.7477693E+000, 2.2850517E+002
 4.7575496E+000, 2.1814341E+002
 4.7673299E+000, 2.1005664E+002
 4.7771103E+000, 2.0342270E+002
 4.7868906E+000, 1.9827503E+002
 4.7966709E+000, 1.9399841E+002
 4.8064513E+000, 1.8985543E+002
 4.8162316E+000, 1.8637002E+002
 4.8260119E+000, 1.8378142E+002
 4.8357923E+000, 1.8289209E+002
 4.8455726E+000, 1.8359673E+002
 4.8553529E+000, 1.8482392E+002
 4.8651333E+000, 1.8556890E+002
 4.8749136E+000, 1.8424243E+002
 4.8846939E+000, 1.7925523E+002
 4.8944743E+000, 1.6908862E+002
 4.9042546E+000, 1.5509090E+002
 4.9140349E+000, 1.4110049E+002
 4.9238153E+000, 1.2871762E+002
 4.9335956E+000, 1.1898149E+002
 4.9433759E+000, 1.1200191E+002
 4.9531563E+000, 1.0777347E+002
 4.9629366E+000, 1.0536784E+002
 4.9727169E+000, 1.0383301E+002
 4.9824972E+000, 1.0280636E+002
 4.9922776E+000, 1.0227930E+002
 5.0000000E+000, 1.0217724E+002
